format_name,team_name,strength,group,qualify_rate,quarterfinal_rate,semifinal_rate,final_rate,champion_rate
random_draw_rest,湖州市队,75.1184,G06,0.9815,0.2567,0.1157,0.0471,0.0186
random_draw_rest,永嘉县队,74.0757,G04,0.1765,0.0415,0.0198,0.0077,0.0032
random_draw_rest,永康市队,73.935,G15,0.1668,0.0394,0.0163,0.007,0.0032
random_draw_rest,平阳县队,73.7709,G16,0.1812,0.0406,0.0179,0.0073,0.0026
random_draw_rest,衢州市队,73.7618,G03,0.9794,0.2245,0.095,0.0392,0.0135
random_draw_rest,平湖市队,73.6491,G03,0.1797,0.0412,0.0176,0.0062,0.0018
random_draw_rest,宁海县队,73.4369,G01,0.84,0.1923,0.0823,0.0325,0.0112
random_draw_rest,象山县队,73.4009,G14,0.008,0.0016,0.0007,0.0003,0.0001
random_draw_rest,嵊州市队,73.2715,G13,0.1602,0.0344,0.0147,0.0057,0.0013
random_draw_rest,嘉善县队,72.8539,G02,0.8627,0.1777,0.0746,0.0272,0.0086
random_draw_rest,苍南县队,72.4635,G01,0.0089,0.0015,0.0003,0.0002,0.0
random_draw_rest,长兴县队,72.4484,G12,0.009,0.0015,0.0004,0.0001,0.0001
random_draw_rest,玉环市队,72.322,G14,0.1543,0.0301,0.012,0.0052,0.0018
random_draw_rest,丽水市队,72.2071,G12,0.9792,0.2014,0.08,0.0299,0.0095
random_draw_rest,安吉县队,72.1699,G16,0.8356,0.1714,0.0688,0.0257,0.0084
random_draw_rest,兰溪市队,71.9041,G07,0.8365,0.1636,0.0633,0.0221,0.007
random_draw_rest,德清县队,71.7624,G03,0.0089,0.0015,0.0006,0.0003,0.0002
random_draw_rest,建德市队,71.5751,G01,0.1695,0.0318,0.0125,0.0047,0.0015
random_draw_rest,桐庐县队,71.5427,G04,0.8302,0.1557,0.059,0.0205,0.0056
random_draw_rest,江山市队,71.295,G11,0.1711,0.0312,0.012,0.0044,0.0011
random_draw_rest,新昌县队,71.1184,G09,0.8401,0.1532,0.0607,0.0212,0.0068
random_draw_rest,海盐县队,70.9107,G12,0.156,0.0298,0.0123,0.0034,0.0014
random_draw_rest,舟山市队,70.8279,G11,0.9768,0.1655,0.0622,0.0205,0.0056
random_draw_rest,龙游县队,70.6196,G08,0.006,0.0008,0.0003,0.0,0.0
random_draw_rest,天台县队,70.492,G06,0.8474,0.1501,0.0556,0.0181,0.0054
random_draw_rest,仙居县队,70.3899,G16,0.9769,0.1666,0.0609,0.0209,0.0064
random_draw_rest,青田县队,70.3035,G02,0.0073,0.0011,0.0006,0.0003,0.0001
random_draw_rest,武义县队,70.0358,G06,0.0086,0.0014,0.0004,0.0003,0.0002
random_draw_rest,浦江县队,69.8713,G10,0.1746,0.0279,0.0102,0.0034,0.0009
random_draw_rest,淳安县队,69.7669,G05,0.149,0.0235,0.0086,0.0027,0.0006
random_draw_rest,三门县队,68.9679,G03,0.8319,0.1195,0.0416,0.0117,0.0026
random_draw_rest,缙云县队,68.9017,G09,0.0077,0.001,0.0003,0.0001,0.0001
random_draw_rest,开化县队,68.1313,G06,0.1625,0.0243,0.0066,0.0024,0.0006
random_draw_rest,龙港市队,68.0773,G15,0.0083,0.0014,0.0004,0.0002,0.0001
random_draw_rest,常山县队,67.8454,G15,0.843,0.1095,0.0339,0.0097,0.0019
random_draw_rest,龙泉市队,67.7541,G05,0.0059,0.0008,0.0002,0.0,0.0
random_draw_rest,泰顺县队,67.4028,G11,0.0069,0.0008,0.0001,0.0001,0.0
random_draw_rest,文成县队,67.3143,G09,0.9787,0.1226,0.0372,0.0111,0.0028
random_draw_rest,松阳县队,66.3775,G10,0.8326,0.0873,0.0254,0.0065,0.0013
random_draw_rest,遂昌县队,66.1488,G16,0.0063,0.0006,0.0003,0.0001,0.0
random_draw_rest,磐安县队,65.174,G04,0.0058,0.0004,0.0001,0.0001,0.0
random_draw_rest,岱山县队,65.0806,G08,0.8526,0.0777,0.0204,0.0046,0.0011
random_draw_rest,庆元县队,64.7769,G13,0.0056,0.0006,0.0001,0.0001,0.0
random_draw_rest,景宁畲族自治县队,63.8112,G14,0.8466,0.0674,0.0168,0.004,0.0011
random_draw_rest,云和县队,63.6147,G15,0.9819,0.0766,0.0184,0.0037,0.0008
random_draw_rest,嵊泗县队,60.0,G02,0.141,0.007,0.0014,0.0004,0.0001
random_draw_reseeded,杭州市队,90.0,G14,0.9913,0.6435,0.5065,0.3844,0.2821
random_draw_reseeded,宁波市队,85.6275,G04,0.9877,0.5376,0.3755,0.2444,0.1449
random_draw_reseeded,温州市队,82.7149,G07,0.9823,0.4537,0.2902,0.1694,0.0872
random_draw_reseeded,绍兴市队,82.2449,G02,0.9883,0.4583,0.2926,0.1703,0.0848
random_draw_reseeded,义乌市队,79.6466,G12,0.8578,0.3048,0.1651,0.0863,0.0445
random_draw_reseeded,台州市队,79.0802,G10,0.9839,0.3669,0.2074,0.1055,0.0452
random_draw_reseeded,慈溪市队,78.9263,G07,0.1686,0.0527,0.0255,0.0117,0.0056
random_draw_reseeded,乐清市队,78.3977,G05,0.8622,0.2823,0.1467,0.0712,0.035
random_draw_reseeded,瑞安市队,78.2237,G08,0.1618,0.0478,0.0228,0.0111,0.0051
random_draw_reseeded,海宁市队,77.5332,G07,0.0079,0.0021,0.0007,0.0003,0.0001
random_draw_reseeded,诸暨市队,77.272,G10,0.0081,0.0022,0.0013,0.0004,0.0003
random_draw_reseeded,金华市队,77.0475,G08,0.9823,0.323,0.17,0.0774,0.0328
random_draw_reseeded,嘉兴市队,76.9739,G01,0.9807,0.3004,0.1475,0.0638,0.0233
random_draw_reseeded,温岭市队,76.944,G09,0.1744,0.0488,0.0225,0.01,0.0042
random_draw_reseeded,东阳市队,76.3938,G13,0.9805,0.309,0.1593,0.0726,0.029
random_draw_reseeded,余姚市队,75.7398,G13,0.8431,0.2099,0.0938,0.0372,0.0148
random_draw_reseeded,桐乡市队,75.351,G11,0.8522,0.21,0.0871,0.0331,0.0125
random_draw_reseeded,临海市队,75.2157,G05,0.982,0.2687,0.1295,0.0558,0.0195
random_draw_reseeded,湖州市队,75.1184,G06,0.9827,0.2631,0.119,0.0485,0.0169
random_draw_reseeded,永嘉县队,74.0757,G04,0.1761,0.0372,0.0146,0.0065,0.0022
random_draw_reseeded,永康市队,73.935,G15,0.1663,0.0357,0.0147,0.0063,0.0026
random_draw_reseeded,平阳县队,73.7709,G16,0.1835,0.0376,0.0134,0.0046,0.0018
random_draw_reseeded,衢州市队,73.7618,G03,0.979,0.2396,0.1019,0.0367,0.0124
random_draw_reseeded,平湖市队,73.6491,G03,0.1779,0.0386,0.0146,0.0057,0.0022
random_draw_reseeded,宁海县队,73.4369,G01,0.8475,0.1821,0.0741,0.0286,0.012
random_draw_reseeded,象山县队,73.4009,G14,0.0082,0.0016,0.0008,0.0001,0.0001
random_draw_reseeded,嵊州市队,73.2715,G13,0.1701,0.0333,0.0124,0.004,0.0014
random_draw_reseeded,嘉善县队,72.8539,G02,0.8647,0.1596,0.0585,0.0181,0.0055
random_draw_reseeded,苍南县队,72.4635,G01,0.0097,0.0012,0.0004,0.0003,0.0001
random_draw_reseeded,长兴县队,72.4484,G12,0.0089,0.0016,0.0006,0.0001,0.0
random_draw_reseeded,玉环市队,72.322,G14,0.1499,0.0272,0.0106,0.0035,0.0014
random_draw_reseeded,丽水市队,72.2071,G12,0.9798,0.2109,0.0868,0.0296,0.0094
random_draw_reseeded,安吉县队,72.1699,G16,0.8332,0.154,0.0568,0.0191,0.0063
random_draw_reseeded,兰溪市队,71.9041,G07,0.8411,0.1648,0.0612,0.0221,0.0076
random_draw_reseeded,德清县队,71.7624,G03,0.0078,0.0013,0.0003,0.0001,0.0001
random_draw_reseeded,建德市队,71.5751,G01,0.1621,0.0262,0.0081,0.0025,0.0006
random_draw_reseeded,桐庐县队,71.5427,G04,0.8306,0.1536,0.0528,0.0186,0.0063
random_draw_reseeded,江山市队,71.295,G11,0.162,0.0251,0.0073,0.0018,0.0007
random_draw_reseeded,新昌县队,71.1184,G09,0.8389,0.1451,0.0519,0.0185,0.0056
random_draw_reseeded,海盐县队,70.9107,G12,0.1535,0.025,0.0089,0.0027,0.0006
random_draw_reseeded,舟山市队,70.8279,G11,0.9786,0.1689,0.0599,0.0194,0.0057
random_draw_reseeded,龙游县队,70.6196,G08,0.0057,0.0004,0.0001,0.0001,0.0001
random_draw_reseeded,天台县队,70.492,G06,0.8454,0.1373,0.0491,0.0169,0.006
random_draw_reseeded,仙居县队,70.3899,G16,0.976,0.1776,0.0683,0.025,0.0076
random_draw_reseeded,青田县队,70.3035,G02,0.0061,0.0007,0.0003,0.0001,0.0
random_draw_reseeded,武义县队,70.0358,G06,0.0076,0.0008,0.0001,0.0001,0.0
random_draw_reseeded,浦江县队,69.8713,G10,0.1699,0.0242,0.008,0.0031,0.001
random_draw_reseeded,淳安县队,69.7669,G05,0.1484,0.0202,0.0058,0.0011,0.0005
random_draw_reseeded,三门县队,68.9679,G03,0.8353,0.1173,0.0391,0.0111,0.0031
random_draw_reseeded,缙云县队,68.9017,G09,0.0078,0.0007,0.0003,0.0001,0.0
random_draw_reseeded,开化县队,68.1313,G06,0.1643,0.017,0.0047,0.0015,0.0005
random_draw_reseeded,龙港市队,68.0773,G15,0.0091,0.0009,0.0003,0.0001,0.0
random_draw_reseeded,常山县队,67.8454,G15,0.8435,0.1022,0.0295,0.0085,0.0021
random_draw_reseeded,龙泉市队,67.7541,G05,0.0073,0.001,0.0001,0.0,0.0
random_draw_reseeded,泰顺县队,67.4028,G11,0.0071,0.0006,0.0,0.0,0.0
random_draw_reseeded,文成县队,67.3143,G09,0.9788,0.134,0.0432,0.0122,0.0032
random_draw_reseeded,松阳县队,66.3775,G10,0.838,0.0891,0.0251,0.0065,0.0015
random_draw_reseeded,遂昌县队,66.1488,G16,0.0073,0.0009,0.0003,0.0001,0.0001
random_draw_reseeded,磐安县队,65.174,G04,0.0056,0.0004,0.0001,0.0001,0.0
random_draw_reseeded,岱山县队,65.0806,G08,0.8501,0.0691,0.015,0.0029,0.0006
random_draw_reseeded,庆元县队,64.7769,G13,0.0063,0.0004,0.0001,0.0001,0.0
random_draw_reseeded,景宁畲族自治县队,63.8112,G14,0.8506,0.0612,0.0138,0.0031,0.0006
random_draw_reseeded,云和县队,63.6147,G15,0.9811,0.0835,0.0219,0.0055,0.0009
random_draw_reseeded,嵊泗县队,60.0,G02,0.1409,0.0054,0.0009,0.0001,0.0001
group_rank_seeded,杭州市队,90.0,G14,0.991,0.6435,0.5008,0.3795,0.2805
group_rank_seeded,宁波市队,85.6275,G04,0.9879,0.5266,0.3574,0.2318,0.1374
group_rank_seeded,温州市队,82.7149,G07,0.9843,0.4598,0.2852,0.1674,0.0897
group_rank_seeded,绍兴市队,82.2449,G02,0.99,0.4515,0.2782,0.1605,0.0857
group_rank_seeded,义乌市队,79.6466,G12,0.858,0.3162,0.1769,0.091,0.045
group_rank_seeded,台州市队,79.0802,G10,0.9841,0.3705,0.1981,0.1016,0.0465
group_rank_seeded,慈溪市队,78.9263,G07,0.1648,0.0537,0.0294,0.0152,0.0072
group_rank_seeded,乐清市队,78.3977,G05,0.864,0.2933,0.157,0.0761,0.0348
group_rank_seeded,瑞安市队,78.2237,G08,0.1628,0.0521,0.0261,0.0119,0.0038
group_rank_seeded,海宁市队,77.5332,G07,0.0076,0.0019,0.0006,0.0004,0.0001
group_rank_seeded,诸暨市队,77.272,G10,0.0083,0.0021,0.0009,0.0005,0.0002
group_rank_seeded,金华市队,77.0475,G08,0.9818,0.3212,0.164,0.0773,0.0332
group_rank_seeded,嘉兴市队,76.9739,G01,0.9819,0.3006,0.1398,0.0603,0.0229
group_rank_seeded,温岭市队,76.944,G09,0.176,0.0478,0.0253,0.0118,0.0052
group_rank_seeded,东阳市队,76.3938,G13,0.9818,0.3025,0.152,0.0686,0.0273
group_rank_seeded,余姚市队,75.7398,G13,0.845,0.217,0.0966,0.0395,0.0147
group_rank_seeded,桐乡市队,75.351,G11,0.8468,0.2095,0.0929,0.0394,0.014
group_rank_seeded,临海市队,75.2157,G05,0.9818,0.2799,0.131,0.0557,0.0215
group_rank_seeded,湖州市队,75.1184,G06,0.9834,0.2584,0.1145,0.0474,0.0169
group_rank_seeded,永嘉县队,74.0757,G04,0.1754,0.0394,0.0173,0.0067,0.0024
group_rank_seeded,永康市队,73.935,G15,0.1716,0.0336,0.0152,0.0061,0.0019
group_rank_seeded,平阳县队,73.7709,G16,0.1844,0.0361,0.0154,0.0051,0.0014
group_rank_seeded,衢州市队,73.7618,G03,0.9785,0.2412,0.1015,0.0382,0.0132
group_rank_seeded,平湖市队,73.6491,G03,0.1777,0.0369,0.0149,0.0065,0.0024
group_rank_seeded,宁海县队,73.4369,G01,0.8438,0.1875,0.0828,0.0328,0.0137
group_rank_seeded,象山县队,73.4009,G14,0.0091,0.0015,0.0005,0.0001,0.0
group_rank_seeded,嵊州市队,73.2715,G13,0.1676,0.0351,0.0148,0.0053,0.0014
group_rank_seeded,嘉善县队,72.8539,G02,0.869,0.1686,0.0664,0.0232,0.0067
group_rank_seeded,苍南县队,72.4635,G01,0.0089,0.0011,0.0005,0.0001,0.0001
group_rank_seeded,长兴县队,72.4484,G12,0.0089,0.0008,0.0002,0.0001,0.0001
group_rank_seeded,玉环市队,72.322,G14,0.1532,0.0272,0.0112,0.004,0.0014
group_rank_seeded,丽水市队,72.2071,G12,0.98,0.2118,0.0828,0.0289,0.0097
group_rank_seeded,安吉县队,72.1699,G16,0.8326,0.1543,0.059,0.0209,0.0057
group_rank_seeded,兰溪市队,71.9041,G07,0.8433,0.1631,0.0651,0.0249,0.0085
group_rank_seeded,德清县队,71.7624,G03,0.0084,0.001,0.0004,0.0001,0.0001
group_rank_seeded,建德市队,71.5751,G01,0.1655,0.0254,0.0098,0.0027,0.0006
group_rank_seeded,桐庐县队,71.5427,G04,0.831,0.1491,0.0566,0.0192,0.0062
group_rank_seeded,江山市队,71.295,G11,0.1705,0.0277,0.0098,0.0029,0.0008
group_rank_seeded,新昌县队,71.1184,G09,0.8378,0.1433,0.0549,0.0186,0.0057
group_rank_seeded,海盐县队,70.9107,G12,0.153,0.0248,0.0101,0.0037,0.001
group_rank_seeded,舟山市队,70.8279,G11,0.9765,0.1662,0.0582,0.0174,0.0046
group_rank_seeded,龙游县队,70.6196,G08,0.0057,0.0009,0.0003,0.0001,0.0
group_rank_seeded,天台县队,70.492,G06,0.8428,0.1357,0.0529,0.0182,0.0064
group_rank_seeded,仙居县队,70.3899,G16,0.977,0.1728,0.0625,0.0214,0.0066
group_rank_seeded,青田县队,70.3035,G02,0.0075,0.0008,0.0003,0.0001,0.0001
group_rank_seeded,武义县队,70.0358,G06,0.0089,0.0014,0.0006,0.0004,0.0001
group_rank_seeded,浦江县队,69.8713,G10,0.1694,0.0242,0.0089,0.0031,0.0011
group_rank_seeded,淳安县队,69.7669,G05,0.1484,0.0198,0.0075,0.0024,0.0005
group_rank_seeded,三门县队,68.9679,G03,0.8355,0.115,0.0391,0.0131,0.0032
group_rank_seeded,缙云县队,68.9017,G09,0.0076,0.0007,0.0003,0.0001,0.0001
group_rank_seeded,开化县队,68.1313,G06,0.1649,0.0174,0.0056,0.0015,0.0003
group_rank_seeded,龙港市队,68.0773,G15,0.008,0.0009,0.0002,0.0001,0.0
group_rank_seeded,常山县队,67.8454,G15,0.8391,0.0955,0.0294,0.0079,0.0015
group_rank_seeded,龙泉市队,67.7541,G05,0.0058,0.0006,0.0003,0.0001,0.0
group_rank_seeded,泰顺县队,67.4028,G11,0.0063,0.0007,0.0002,0.0001,0.0001
group_rank_seeded,文成县队,67.3143,G09,0.9786,0.1262,0.0369,0.0097,0.0025
group_rank_seeded,松阳县队,66.3775,G10,0.8381,0.0848,0.0249,0.0058,0.0013
group_rank_seeded,遂昌县队,66.1488,G16,0.006,0.0006,0.0003,0.0001,0.0001
group_rank_seeded,磐安县队,65.174,G04,0.0056,0.0006,0.0001,0.0,0.0
group_rank_seeded,岱山县队,65.0806,G08,0.8497,0.0668,0.0166,0.0044,0.0008
group_rank_seeded,庆元县队,64.7769,G13,0.0056,0.0003,0.0001,0.0,0.0
group_rank_seeded,景宁畲族自治县队,63.8112,G14,0.8467,0.0632,0.0163,0.0034,0.0005
group_rank_seeded,云和县队,63.6147,G15,0.9812,0.0823,0.0216,0.0049,0.0015
group_rank_seeded,嵊泗县队,60.0,G02,0.1336,0.0047,0.0009,0.0,0.0
group_rank_seeded_rest,杭州市队,90.0,G14,0.9909,0.6423,0.4931,0.3739,0.2727
group_rank_seeded_rest,宁波市队,85.6275,G04,0.9872,0.5306,0.3612,0.2369,0.1441
group_rank_seeded_rest,温州市队,82.7149,G07,0.9839,0.4605,0.2797,0.162,0.0883
group_rank_seeded_rest,绍兴市队,82.2449,G02,0.9902,0.4508,0.2753,0.1568,0.0823
group_rank_seeded_rest,义乌市队,79.6466,G12,0.8573,0.3088,0.1716,0.0897,0.0412
group_rank_seeded_rest,台州市队,79.0802,G10,0.9842,0.3642,0.1974,0.1015,0.0483
group_rank_seeded_rest,慈溪市队,78.9263,G07,0.1689,0.0564,0.0314,0.0171,0.0083
group_rank_seeded_rest,乐清市队,78.3977,G05,0.8643,0.2888,0.152,0.0723,0.0318
group_rank_seeded_rest,瑞安市队,78.2237,G08,0.1636,0.0484,0.0261,0.0124,0.0051
group_rank_seeded_rest,海宁市队,77.5332,G07,0.0076,0.0026,0.0012,0.0004,0.0003
group_rank_seeded_rest,诸暨市队,77.272,G10,0.0073,0.0015,0.0008,0.0006,0.0003
group_rank_seeded_rest,金华市队,77.0475,G08,0.9837,0.3159,0.1596,0.0761,0.0346
group_rank_seeded_rest,嘉兴市队,76.9739,G01,0.9821,0.3144,0.155,0.0696,0.0268
group_rank_seeded_rest,温岭市队,76.944,G09,0.1707,0.0466,0.022,0.01,0.0039
group_rank_seeded_rest,东阳市队,76.3938,G13,0.9815,0.2984,0.1485,0.0665,0.0268
group_rank_seeded_rest,余姚市队,75.7398,G13,0.8456,0.2245,0.1035,0.0461,0.0176
group_rank_seeded_rest,桐乡市队,75.351,G11,0.8489,0.2182,0.0979,0.0403,0.0142
group_rank_seeded_rest,临海市队,75.2157,G05,0.9803,0.2724,0.1261,0.052,0.0197
group_rank_seeded_rest,湖州市队,75.1184,G06,0.9822,0.2642,0.1182,0.0447,0.0172
group_rank_seeded_rest,永嘉县队,74.0757,G04,0.1746,0.0391,0.0164,0.0055,0.0022
group_rank_seeded_rest,永康市队,73.935,G15,0.1704,0.0374,0.0162,0.0061,0.0019
group_rank_seeded_rest,平阳县队,73.7709,G16,0.1831,0.0367,0.0157,0.0066,0.0024
group_rank_seeded_rest,衢州市队,73.7618,G03,0.9798,0.2364,0.0997,0.0382,0.0132
group_rank_seeded_rest,平湖市队,73.6491,G03,0.179,0.0367,0.0163,0.0062,0.0021
group_rank_seeded_rest,宁海县队,73.4369,G01,0.8438,0.1897,0.0829,0.0341,0.012
group_rank_seeded_rest,象山县队,73.4009,G14,0.0103,0.0023,0.0011,0.0003,0.0001
group_rank_seeded_rest,嵊州市队,73.2715,G13,0.1674,0.0351,0.0143,0.0054,0.0017
group_rank_seeded_rest,嘉善县队,72.8539,G02,0.8698,0.1741,0.0685,0.0247,0.0075
group_rank_seeded_rest,苍南县队,72.4635,G01,0.0086,0.0009,0.0004,0.0001,0.0
group_rank_seeded_rest,长兴县队,72.4484,G12,0.0076,0.0011,0.0003,0.0002,0.0
group_rank_seeded_rest,玉环市队,72.322,G14,0.1532,0.0278,0.0121,0.0045,0.0013
group_rank_seeded_rest,丽水市队,72.2071,G12,0.9792,0.2076,0.0814,0.0284,0.0086
group_rank_seeded_rest,安吉县队,72.1699,G16,0.8323,0.1569,0.0615,0.0226,0.0073
group_rank_seeded_rest,兰溪市队,71.9041,G07,0.8397,0.1575,0.0627,0.0232,0.0084
group_rank_seeded_rest,德清县队,71.7624,G03,0.0089,0.0016,0.0005,0.0003,0.0
group_rank_seeded_rest,建德市队,71.5751,G01,0.1654,0.0251,0.0092,0.0027,0.0009
group_rank_seeded_rest,桐庐县队,71.5427,G04,0.8318,0.1485,0.0587,0.0212,0.0068
